query_id,query_cluster,query_text,surface,surface_mode,run_at_utc,artifact_path,rhumb_mentioned,resolve_mentioned,citation_url,citation_type,entity_accuracy,claim_accuracy,competitors_named,composio_present,actionability,keel_review_status,notes
Q1,index,Best API services for AI agents,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q1__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q1,index,Best API services for AI agents,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q1__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q1,index,Best API services for AI agents,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q1__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q1,index,Best API services for AI agents,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:12:18Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q1__Gemini__20260425T151218Z.md,no,no,,none,0,0,"Composio, Exa, Tavily, Firecrawl",yes,3,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q1,index,Best API services for AI agents,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q1__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q2,index,Score and rank APIs for agent compatibility,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q2__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q2,index,Score and rank APIs for agent compatibility,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q2__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q2,index,Score and rank APIs for agent compatibility,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q2__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q2,index,Score and rank APIs for agent compatibility,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:12:32Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q2__Gemini__20260425T151232Z.md,no,no,,none,0,0,Make,no,3,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q2,index,Score and rank APIs for agent compatibility,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q2__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q3,index,Agent-native service directory,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q3__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q3,index,Agent-native service directory,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q3__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q3,index,Agent-native service directory,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q3__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q3,index,Agent-native service directory,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:12:46Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q3__Gemini__20260425T151246Z.md,no,no,,none,0,0,"LangChain, Consul",no,3,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
